delay_limit,max_trace_len,min_trace_len,max_trace_duration,min_num_traces,path,seed,client_sample_size,trace_sample_size,target_trace_sample_size,approach,fields,typical,dependent,metric,strategy,scoring_matrix,scope,top_1,top_1_std,top_10,top_10_std,top_10_percent,top_10_percent_std
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,"[Speed, Street, Postcode, Suburb, Village]",False,False,euclidean,nw,"[1, -1, -1, -1]",global,0.1775,0.3820912849045367,0.275,0.4465142774872948,0.55,0.4974937185533096
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,"[Speed, Street, Postcode, Suburb, Village]",False,False,manhattan,nw,"[1, -1, -1, -1]",global,0.1525,0.3595048678390888,0.275,0.446514277487295,0.51,0.499899989997998
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,"[Speed, Street, Postcode, Suburb, Village]",False,False,cosine,nw,"[1, -1, -1, -1]",global,0.17,0.3756327994198588,0.2775,0.4477652844962398,0.5625,0.4960783708246107
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,"[Speed, Street, Postcode, Suburb, Village]",False,False,bhattacharyya,nw,"[1, -1, -1, -1]",global,0.1525,0.3595048678390892,0.2525,0.4344464869233024,0.55,0.4974937185533097
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,"[Speed, Street, Postcode, Suburb, Village]",False,False,kullback_leibler,nw,"[1, -1, -1, -1]",global,0.1175,0.3220151393956498,0.2225,0.4159251735588984,0.5275,0.4992431772192787
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,"[Speed, Street, Postcode, Suburb, Village]",False,False,total_variation,nw,"[1, -1, -1, -1]",global,0.1525,0.3595048678390887,0.275,0.4465142774872948,0.51,0.4998999899979979
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,"[Speed, Street, Postcode, Suburb, Village]",False,False,jeffries_matusita,nw,"[1, -1, -1, -1]",global,0.1725,0.3778144385806331,0.255,0.4358612164439502,0.5375,0.4985917668794762
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,"[Speed, Street, Postcode, Suburb, Village]",False,False,chi_quared,nw,"[1, -1, -1, -1]",global,0.1625,0.3689088640843433,0.2775,0.4477652844962396,0.545,0.4979708826829147
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,[Street],False,False,euclidean,nw,"[1, -1, -1, -1]",global,0.15,0.3570714214271431,0.2425,0.4285950886326178,0.47,0.4990991885387121
1800.0,500,10,86400.0,4,/home/john/data/mobility/driving_sampled_8k.csv,0,400,500,1,frequency,[LocationCode],False,False,euclidean,nw,"[1, -1, -1, -1]",global,0.085,0.2788816953476857,0.205,0.4037016224886893,0.4725,0.4992431772192784
